ERR.number.tips.filtered,Human,Pigs,Cows,Goats,Birds,Rabbits,Sheep,Horses,Rodents,Carnivora,Bat,Marine,Unknown,Unclassified
0864N0018,8.339744208,4.339744208,3.339744208,2.339744208,1.339744208,1.339744208,1.339744208,1.339744208,1.339744208,1.339744208,1.339744208,1.339744208,1.339744208,1.339744208
0864N0016,8.081430116,4.081430116,3.081430116,2.081430116,1.081430116,1.081430116,1.081430116,1.081430116,1.081430116,1.081430116,1.081430116,1.081430116,1.081430116,1.081430116
ERR114861,8.032886648,4.032886648,3.032886648,2.032886648,1.032886648,1.032886648,1.032886648,1.032886648,1.032886648,1.032886648,1.032886648,1.032886648,1.032886648,1.032886648
ERR033425,8.993227735,4.993227735,3.993227735,2.993227735,1.993227735,1.993227735,1.993227735,1.993227735,1.993227735,1.993227735,1.993227735,1.993227735,1.993227735,1.993227735
ERR033474,8.208312619,4.208312619,3.208312619,2.208312619,1.208312619,1.208312619,1.208312619,1.208312619,1.208312619,1.208312619,1.208312619,1.208312619,1.208312619,1.208312619
ERR033457,8.448242404,4.448242404,3.448242404,2.448242404,1.448242404,1.448242404,1.448242404,1.448242404,1.448242404,1.448242404,1.448242404,1.448242404,1.448242404,1.448242404
973N0028,8.071678997,4.071678997,3.071678997,2.071678997,1.071678997,1.071678997,1.071678997,1.071678997,1.071678997,1.071678997,1.071678997,1.071678997,1.071678997,1.071678997
ERR033333,8.259271944,4.259271944,3.259271944,2.259271944,1.259271944,1.259271944,1.259271944,1.259271944,1.259271944,1.259271944,1.259271944,1.259271944,1.259271944,1.259271944
ERR039397,8.073917867,4.073917867,3.073917867,2.073917867,1.073917867,1.073917867,1.073917867,1.073917867,1.073917867,1.073917867,1.073917867,1.073917867,1.073917867,1.073917867
ERR033630,8.163634227,4.163634227,3.163634227,2.163634227,1.163634227,1.163634227,1.163634227,1.163634227,1.163634227,1.163634227,1.163634227,1.163634227,1.163634227,1.163634227
ERR033639,8.240283908,4.240283908,3.240283908,2.240283908,1.240283908,1.240283908,1.240283908,1.240283908,1.240283908,1.240283908,1.240283908,1.240283908,1.240283908,1.240283908
ERR038660,8.022522553,4.022522553,3.022522553,2.022522553,1.022522553,1.022522553,1.022522553,1.022522553,1.022522553,1.022522553,1.022522553,1.022522553,1.022522553,1.022522553
ERR033615,8.842200335,4.842200335,3.842200335,2.842200335,1.842200335,1.842200335,1.842200335,1.842200335,1.842200335,1.842200335,1.842200335,1.842200335,1.842200335,1.842200335
