Number ,Isolate name,Sequence name,Alignment  name,Unique name,Tree name,Species,Sequenced by,Country,Country code,Location,Source group,Source three letter,Source,Isolate from ,Date,Year ,ST,CC,sp,mec,Class,Order,Family,Subfamily,Genus,Species,Reference,Source,Number in collection,ERR number,ERR.number.tips,ERR.number.tips.filtered
1,10.6276.E,7068_5#24,7068_5#24_LGA251,7068524,7068524_Human_1_1,Staphylococcus aureus,Holmes,Scotland,GBR,Fife,Human,HUM,Human,Wound swab,2/9/10,2010,1,1,t127,neg,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,,13,ERR084611,ERR084611,ERR084611
2,8182,9061_8#68,9061_8#68_LGA251,9061868,9061868_Horse_1_1,Staphylococcus aureus,Holmes,England,GBR,Suffolk,Horses,EQU,Horse,fetlock joint,10/31/05,2005,1,1,,,Mammalia,Perissodactyla,Equidae,,Equus,ferus,Andrew Waller - Animal Health Trust,Andrew Waller,13,ERR237611,ERR237611,ERR237611
3,VI 54658,973N0003,973N0003_LGA251,973N0003,973N0003_Cow_1_1,Staphylococcus aureus,Fitzgerald,Norway,NOR,Sogn og Fjordane,Cows,BOV,Cow,Milk,2001,2001,1,1,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Jorgensen HJ, Mork T, Hogasen HR, Rorvik LM. Enterotoxigenic Staphylococcus aureus in bulk milk in Norway. Journal of applied microbiology 99, 158-166 (2005).",Jèrgensen,15,PRJEB20741,973N0003,973N0003
4,CH69 (ch13),612_77,612_77_LGA251,61277,61277_Chicken_1_1,Staphylococcus aureus,Fitzgerald,Japan,JPN,,Birds,AVI,Chicken,,1998,1998,1,1,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,ERR1801388,ERR1801388,ERR1801388
5,DS51,973N0011,973N0011_LGA251,973N0011,973N0011_Rabbit_1_1,Staphylococcus aureus,Fitzgerald,Belgium,BEL,,Rabbits,LEP,Rabbit,,2000,2000,1,1,,,Mammalia,Lagomorpha,Leporidae,,Oryctolagus,cuniculus,"Vancraeynest D, et al,  Genotypic and phenotypic screening
of high and low virulence Staphylococcus aureus isolates from rabbits for biofilm
formation and MSCRAMMs. Vet Microbiol. 2004 Nov 15;103(3-4):241-7.",,,PRJEB20741,973N0011,973N0011
6,R953,973N0065,973N0065,973N0065,973N0065_Meerkat_1_1,Staphylococcus aureus,Fitzgerald,UK,GBR,,Carnivore,OEZ,Meerkat,,Unknown,Unknown,1,1,,,Mammalia,Carnivora,Herpestidae,,Suricata,suricatta,This study,,,PRJEB20741,973N0065,973N0065
7,Z_19,973N0072,973N0072_LGA251,973N0072,973N0072_Mongoose_1_1,Staphylococcus aureus,Fitzgerald,Denmark,DNK,Copenhagen,Carnivore,OEZ,Mongoose,,18.03.2010,2010,1,1,,,Mammalia,Carnivora,Herpestidae,,Mungos,mungo,"Espinosa-Gongora C, Chrobak D, Moodley A, Bertelsen MF, Guardabassi L. Occurrence and distribution of Staphylococcus aureus lineages among zoo animals. Veterinary microbiology 158, 228-231 (2012).",,,PRJEB20741,973N0072,973N0072
8,h-N224,8987_2#84,8987_2#84_LGA251,8987284,8987284_Human_5_5,Staphylococcus aureus,Holmes,England,GBR,Nottingham,Human,HUM,Human,,3/20/12,2012,5,5,,,Mammalia,Primates,Hominidae,,Homo,sapiens,This study ,Holmes Group,8,ERR234879,ERR234879,ERR234879
9,CIX38,612_74,612_74_LGA251,61274,61274_Chicken_5_5,Staphylococcus aureus,Fitzgerald,Belgium,BEL,,Birds,AVI,Chicken,Commensal,1976,1976,5,5,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Lowder BV, et al. Recent human-to-poultry host jump, adaptation, and pandemic spread of Staphylococcus aureus. Proceedings of the National Academy of Sciences of the United States of America 106, 19545-19550 (2009).",Fitzgerald lab,13,ERR1801385,ERR1801385,ERR1801385
10,B34/96/1 (pa1),612_87,612_87_LGA251,61287,61287_Partridge_5_5,Staphylococcus aureus,Fitzgerald,UK,GBR,Scotland,Birds,AVI,Partridge,,1996 Study,Pre-1996,5,5,,,Aves,Galliformes,Phasianidae,Perdicinae,,,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,ERR1801395,ERR1801395,ERR1801395
