#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0016.contigs.fasta	NODE_33_length_30174_cov_5.833184	143	1495	-	tet(38)	1-1353/1353	===============	0/0	100.00	100.00	ncbi	NG_048134.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0017.contigs.fasta	NODE_33_length_32250_cov_11.378496	30751	32103	+	tet(38)	1-1353/1353	===============	0/0	100.00	100.00	ncbi	NG_048134.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0018.contigs.fasta	NODE_23_length_40383_cov_14.870533	38381	39733	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.70	ncbi	NG_048134.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0020.contigs.fasta	NODE_1_length_151575_cov_8.896451	120383	121735	-	tet(38)	1-1353/1353	===============	0/0	100.00	99.33	ncbi	NG_055983.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_6_length_109867_cov_8.669884	89103	89522	-	fosB-Saur	1-420/420	===============	0/0	100.00	99.05	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	NODE_74_length_3320_cov_9.717676	1821	3173	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.56	ncbi	NG_048136.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_35_length_29397_cov_6.472347	147	1499	-	tet(38)	1-1353/1353	===============	0/0	100.00	99.33	ncbi	NG_055983.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	NODE_81_length_7520_cov_689.226793	1593	2972	-	tet(K)	1-1380/1380	===============	0/0	100.00	99.64	ncbi	NG_048200.1	tetracycline efflux MFS transporter Tet(K)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0024.contigs.fasta	NODE_31_length_30496_cov_13.242557	29010	30362	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.48	ncbi	NG_048133.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0025.contigs.fasta	NODE_33_length_29614_cov_16.640884	135	1487	-	tet(38)	1-1353/1353	===============	0/0	100.00	99.48	ncbi	NG_048133.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0026.contigs.fasta	NODE_16_length_48070_cov_10.111830	46584	47936	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.48	ncbi	NG_048133.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0027.contigs.fasta	NODE_5_length_102858_cov_9.226035	11993	13345	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.56	ncbi	NG_048136.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_28_length_35282_cov_143.830605	6342	7187	-	blaZ	1-846/846	===============	0/0	100.00	100.00	ncbi	NG_047534.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	BETA-LACTAM
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_28_length_35282_cov_143.830605	7294	9051	+	blaR1	1-1758/1758	===============	0/0	100.00	97.27	ncbi	NG_051774.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_28_length_35282_cov_143.830605	9041	9421	+	blaI_of_Z	1-381/381	===============	0/0	100.00	98.42	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_28_length_35282_cov_143.830605	18863	19600	-	erm(B)	1-738/738	===============	0/0	100.00	99.86	ncbi	NG_047794.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	MACROLIDE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_28_length_35282_cov_143.830605	20230	21026	-	aph(2'')-Ih	70-866/894	.==============	0/0	89.15	82.43	ncbi	NG_047408.1	aminoglycoside O-phosphotransferase APH(2'')-Ih	AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_28_length_35282_cov_143.830605	24954	25448	+	dfrE	1-495/495	===============	0/0	100.00	100.00	ncbi	NG_076809.1	trimethoprim-resistant dihydrofolate reductase DfrE	TRIMETHOPRIM
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_33_length_32209_cov_13.714321	30723	32075	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.78	ncbi	NG_048134.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	NODE_71_length_4472_cov_455.993918	2933	4312	+	tet(K)	1-1380/1380	===============	0/0	100.00	100.00	ncbi	NG_048200.1	tetracycline efflux MFS transporter Tet(K)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0038.contigs.fasta	NODE_2_length_121167_cov_11.330527	91206	92558	-	tet(38)	1-1353/1353	===============	0/0	100.00	99.56	ncbi	NG_055983.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0038.contigs.fasta	NODE_87_length_4430_cov_394.057312	1024	1872	+	str	1-849/849	===============	0/0	100.00	100.00	ncbi	NG_048080.1	streptomycin adenylyltransferase Str	STREPTOMYCIN
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0047.contigs.fasta	NODE_2_length_167499_cov_15.929538	94550	94969	+	fosB-Saur	1-420/420	===============	0/0	100.00	98.81	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0047.contigs.fasta	NODE_33_length_29423_cov_17.505036	27924	29276	+	tet(38)	1-1353/1353	===============	0/0	100.00	98.82	ncbi	NG_048136.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0047.contigs.fasta	NODE_51_length_16818_cov_13.963062	4823	5314	-	dfrK	1-492/492	===============	0/0	100.00	100.00	ncbi	NG_047761.1	trimethoprim-resistant dihydrofolate reductase DfrK	TRIMETHOPRIM
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0047.contigs.fasta	NODE_80_length_4856_cov_753.900892	448	1182	+	erm(C)	1-735/735	===============	0/0	100.00	100.00	ncbi	NG_047806.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	MACROLIDE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0047.contigs.fasta	NODE_80_length_4856_cov_753.900892	3675	4409	-	erm(C)	1-735/735	===============	0/0	100.00	100.00	ncbi	NG_047806.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	MACROLIDE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0048.contigs.fasta	NODE_10_length_51996_cov_10.765814	148	1500	-	tet(38)	1-1353/1353	===============	0/0	100.00	98.82	ncbi	NG_048136.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0048.contigs.fasta	NODE_4_length_114264_cov_10.025869	50954	51373	-	fosB-Saur	1-420/420	===============	0/0	100.00	98.81	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0048.contigs.fasta	NODE_50_length_16808_cov_8.562802	4821	5312	-	dfrK	1-492/492	===============	0/0	100.00	100.00	ncbi	NG_047761.1	trimethoprim-resistant dihydrofolate reductase DfrK	TRIMETHOPRIM
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0048.contigs.fasta	NODE_80_length_4838_cov_376.211446	439	1173	+	erm(C)	1-735/735	===============	0/0	100.00	100.00	ncbi	NG_047806.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	MACROLIDE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0048.contigs.fasta	NODE_80_length_4838_cov_376.211446	3666	4400	-	erm(C)	1-735/735	===============	0/0	100.00	100.00	ncbi	NG_047806.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	MACROLIDE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0049.contigs.fasta	NODE_2_length_146047_cov_15.164395	50964	51383	-	fosB-Saur	1-420/420	===============	0/0	100.00	98.81	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0049.contigs.fasta	NODE_48_length_16685_cov_13.169349	11505	11996	+	dfrK	1-492/492	===============	0/0	100.00	100.00	ncbi	NG_047761.1	trimethoprim-resistant dihydrofolate reductase DfrK	TRIMETHOPRIM
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0049.contigs.fasta	NODE_72_length_5308_cov_752.875450	674	1408	+	erm(C)	1-735/735	===============	0/0	100.00	100.00	ncbi	NG_047806.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	MACROLIDE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0049.contigs.fasta	NODE_72_length_5308_cov_752.875450	3901	4635	-	erm(C)	1-735/735	===============	0/0	100.00	100.00	ncbi	NG_047806.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	MACROLIDE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0049.contigs.fasta	NODE_8_length_71189_cov_15.949814	41914	43266	-	tet(38)	1-1353/1353	===============	0/0	100.00	98.82	ncbi	NG_048136.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0050.contigs.fasta	NODE_31_length_29423_cov_27.204627	148	1500	-	tet(38)	1-1353/1353	===============	0/0	100.00	98.82	ncbi	NG_048136.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
