#FILE	NUM_FOUND	adsA	aur	cap8B	cap8C	cap8D	cap8E	cap8F	cap8G	cap8H	cap8I	cap8J	cap8K	cap8L	cap8M	cap8O	cap8P	capA	capN	chp	clfA	clfB	cna	coa	eap/map	ebp	esaA	esaB	esaD	esaE	esaG	essA	essB	essC	esxA	esxB	esxC	esxD	eta	fnbA	fnbB	geh	harA	hlb	hld	hlgA	hlgB	hlgC	hly/hla	hysA	icaA	icaB	icaC	icaD	icaR	isdA	isdB	isdC	isdD	isdE	isdF	isdG	isdI	lip	lukF-PV	lukS-PV	sak	sbi	scn	sdrC	sdrD	sdrE	sea	seb	sec	seh	selk	sell	selq	set16	set17	set18	set19	set20	set21	set22	set23	set24	set25	set26	spa	srtB	sspA	sspB	sspC	tsst-1	vWbp
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0016.contigs.fasta	64	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	86.44	84.54	100.00	100.00	100.00	.	.	81.84	100.00	100.00	.	100.00	.	.	.	.	98.33	.	100.00	100.00	99.16	100.00	100.00	100.00	100.00	100.00	98.28	100.00	100.00	100.00	100.00	100.00	100.00	99.38	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.37	.	.	99.92	.	.	.	.	.	.	.	.	.	.	.	100.00	99.86	100.00	85.34	100.00	98.71	100.00	100.00	99.86	99.27	99.28	.	100.00	100.00	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0017.contigs.fasta	65	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	80.53	100.00	100.00	100.00	.	.	87.43;100.00;96.81;82.44	100.00	100.00	84.48	100.00	.	.	.	.	.	.	100.00	100.00	99.16	100.00	100.00	100.00	100.00	100.00	98.73	100.00	100.00	100.00	100.00	100.00	100.00	99.38	99.85	100.00	100.00	100.00	100.00	100.00	100.00	98.17	.	.	97.11	.	.	.	.	.	.	.	.	.	.	.	98.97	100.00	100.00	93.99	100.00	.	99.86	100.00	99.86	100.00	.	.	100.00	95.63	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0018.contigs.fasta	63	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	86.44	84.54	100.00	100.00	100.00	.	.	100.00;100.00	100.00	100.00	.	100.00	.	.	.	.	84.12	.	100.00	100.00	99.16	100.00	100.00	100.00	100.00	100.00	98.28	100.00	100.00	100.00	100.00	100.00	100.00	99.38	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	99.92	.	.	.	.	.	.	.	.	.	.	.	100.00	99.86	100.00	100.00	100.00	98.71	100.00	100.00	99.86	100.00	99.28	.	100.00	100.00	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0020.contigs.fasta	61	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.76	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	99.03	99.38	100.00	100.00	.	.	100.00;100.00;98.80	100.00	100.00	.	100.00	.	.	.	.	.	.	100.00	99.55	99.16	100.00	100.00	.	100.00	100.00	98.28	100.00	100.00	100.00	100.00	100.00	100.00	99.38	100.00	100.00	100.00	100.00	100.00	100.00	100.00	95.12	.	.	99.77	.	.	.	.	.	.	.	.	.	.	.	98.83	100.00	.	.	99.72	.	99.71	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	100.00
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0021.contigs.fasta	52	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	100.00;98.20;83.03	100.00	100.00	.	100.00	.	.	.	.	.	.	100.00	99.55	99.16	100.00	.	100.00	100.00	100.00	98.69	100.00	100.00	100.00	100.00	100.00	100.00	.	99.85	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	99.27	100.00	.	.	99.72	.	99.86	.	.	100.00	.	.	100.00	98.17	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0023.contigs.fasta	68	99.48	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.76	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	100.00	100.00	96.91	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	88.21	100.00	100.00	99.16	100.00	100.00	100.00	100.00	100.00	98.28	100.00	100.00	100.00	100.00	100.00	100.00	99.38	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.17	.	.	99.77	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	92.09	100.00	.	99.86	.	99.86	100.00	98.56	.	100.00	95.63	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0024.contigs.fasta	69	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	97.99	100.00	82.83;100.00;96.41;95.81	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	99.16	100.00	100.00	98.06	100.00	100.00	98.16	100.00	100.00	100.00	100.00	100.00	100.00	99.69	100.00	100.00	100.00	100.00	100.00	100.00	99.71	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	99.56	100.00	100.00	91.77	100.00	.	99.86	99.86	99.86	100.00	.	.	100.00	100.00	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0025.contigs.fasta	59	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	80.53	100.00	100.00	100.00	.	.	100.00;98.79;96.81	100.00	100.00	.	100.00	.	.	.	.	84.32	.	100.00	100.00	99.16	100.00	100.00	100.00	100.00	100.00	98.65	100.00	100.00	100.00	100.00	100.00	100.00	99.38	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	99.12	100.00	100.00	.	100.00	.	99.86	100.00	99.86	100.00	.	.	100.00	100.00	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0026.contigs.fasta	65	100.00	94.44	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	80.53	100.00	100.00	100.00	.	.	100.00;97.60	100.00	100.00	.	100.00	.	.	.	.	.	.	100.00	100.00	99.16	100.00	100.00	100.00	100.00	100.00	99.63	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.80	98.27	.	.	99.77	.	84.87	.	.	.	.	.	.	.	.	.	98.97	100.00	100.00	.	100.00	.	99.86	100.00	100.00	100.00	100.00	.	100.00	96.04	100.00	100.00	.	.
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0027.contigs.fasta	67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	85.49	.	100.00	100.00	100.00	97.99	100.00	97.60;100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	88.58	99.16	100.00	.	100.00	100.00	100.00	98.37	100.00	100.00	100.00	100.00	100.00	100.00	99.85	99.85	100.00	100.00	100.00	100.00	100.00	100.00	95.53	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	98.83	100.00	.	.	100.00	.	99.71	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	99.54
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0037.contigs.fasta	71	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	96.06	80.53	100.00	100.00	100.00	.	.	99.18	100.00	100.00	84.48	100.00	.	.	.	.	88.35	97.49	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.37	.	100.00	99.92	100.00	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	.	99.61
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0038.contigs.fasta	59	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	100.00	100.00	.	.	93.41;96.41;89.16	100.00	100.00	.	100.00	.	.	.	.	.	.	100.00	100.00	99.16	100.00	100.00	100.00	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	98.76	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	99.54	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	99.86	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	98.10
/network/rit/lab/andamlab/teddy/Summer_2022_bioinformatics/datasets/core_genome/assemblies/spades/all_contigs/0864N0047.contigs.fasta	72	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	.	99.38	99.97	100.00	98.05	100.00	95.61;97.01;100.00	100.00	99.25	100.00	100.00	100.00	100.00	100.00	.	.	89.97	100.00	99.55	99.16	100.00	100.00	99.90	100.00	100.00	98.65	100.00	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.37	.	.	92.54	.	.	.	.	.	.	.	.	.	.	.	99.27	99.86	100.00	80.59	100.00	100.00	100.00	100.00	99.86	100.00	.	.	100.00	99.09	100.00	100.00	.	100.00
